title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
Chromosome X-wide association study identifies Loci for fasting insulin and height and evidence for incomplete dosage compensation,tukiainen,2014,study,,chrX GWAS ,,,x,,,,,,400k SNPs GWAS,,,,,
Female bias in Rhox6 and 9 regulation by the histone demethylase KDM6A,berletch,2013,study,rhox6/rhox9/kdm6a,,,x,,xci,,,,demethylation od histone,mouse cell model,,,,,
The number of x chromosomes causes sex differences in adiposity in mice,chen,2012,study,,,,x,amount of X?,exci,,"body weight, fat distribution, metabolic disease",,,mouse model ,,,,,
The demoiselle of X-inactivation: 50 years old and as trendy and mesmerising as ever,morey,2011,review,,,,x,,xci,,,,,,,,,,
An evolutionarily conserved sexual signature in the primate brain,reinius,2008,study,,85 specific genes,x,x,,,,,,,gene expression profiles in human and old world monkey,,,,,
Androgen receptor function links human sexual dimorphism to DNA methylation,ammerpohl,2013,,,,x,x,,"xci, inactivation of androgen receptor",,androgen insensitivity receptor,,DNA mehylation,"""large scale array-based analysis of gene methylation profiles on genomic DNA from labioscrotal skin fibroblasts of 8 males and 26 individuals with androgen insensitivity syndrome (AIS) due to inactivating androgen receptor gene mutations.""",,,,,
Homologous recombination is reduced in female embryonic stem cells by two active X chromosomes,tamura,2021,experiment,BRCC3,,,x,,reactivation of x-linked genes,,,,,female embryonic stem cells,,,,,
A longitudinal twin study of skewed X chromosome-inactivation,wong,2011,study,,,,,skewed xci,xci,,,,,"""we examined X inactivation profiles in a sample of monozygotic (MZ) (n = 23) and dizygotic (DZ) (n = 22) female twin-pairs at ages 5 and 10 years.""",,,,,
"Sex differences in skeletal muscle revealed through fiber type, capillarity, and transcriptomics profiling in mice",o'reilly,2021,experiment,some specific genes mentioned,,,x,,,,muscle profile,,,mice,,,,,
Unusual maintenance of X chromosome inactivation predisposes female lymphocytes for increased expression from the inactive X,wang,2016,study,,,,x,,xci,,,,rna xist,"knockout/knockdown approaches, focusing on lymphocytes",,,,,
Puzzling outcome of the nationwide genetic survey of severe/moderate female haemophilia B in Poland,janczar,2019,,,,,,,,,,,,,,,x,,no abstract but full article is available
Emergence of young human genes after a burst of retroposition in primates,marques,2005,,,,x,,,retrogene,,,,,,,,,,
Sex-specific silencing of X-linked genes by Xist RNA,gayen,2016,experiment,,,,,,xci,,,,rna xist,"""e ectopically induced endogenous Xist by ablating the antisense repressor Tsix in mice""; cell models",,,,,
Skewed X chromosome inactivation and female preponderance in autoimmune thyroid disease: an association study and meta-analysis,simmonds,2014,analysis,,x,,,,xci,,autoimmune thyroid disease,,,control-case/family cohort and undertake meta-analysis,,,,,
X inactivation plays a major role in the gender bias in somatic expansion in a mouse model of the fragile X-related disorders: Implications for the mechanism of repeat expansion,adihe lokanga,2014,experiment,FMR1,,,x,,somatic nucleotide repeat expansion,,fragile x-related disorders,,,knockout mice model,,,,,
Cytogenetic and molecular studies on a recombinant human X chromosome: Implications for the spreading of X chromosome inactivation,mohanadas,1987,experiment,,,,,,pericentric inversion of chrX and recombinant chrX; xci,,,,,dosage blots on genomic DNA from carriers of recombined X; mouse-human cell hybrids,,,,,
Differential Regulation of Mouse Hippocampal Gene Expression Sex Differences by Chromosomal Content and Gonadal Sex,ocañas,2022,study,,x,,x,,,,neurological diseases,,x,four core genotypes mouse model; trascriptpmic and epigenomic anlyses ,,,,,
Sex-specific differences in expression of histone demethylases Utx and Uty in mouse brain and neurons,xu,2008,,UTX/UTY,,,x,,exci,,neurological diseases,,,mice,,,,,
Skewed escape from x-inactivation: Insights into the female bias of sjÖgren's syndrome,shaw,2021,experiment,,,,x,skewed xci,x-linked gene expression; xci/exci,,"sjogren's syndrome, autoimmune, pathogenesis",,,"genome-wide, allele-specific expression profiling using mesencymal stromal cells; pcr; controlled xci",,,,,
Different patterns of allelic loss (loss of heterozygosity) in recurrent human pituitary tumors provide evidence for multiclonal origins,clayton,2000,experiment,,,,,,de novo somatic mutations within single pituitary cell; clones?,,human pituitary tumors,,,pcr amplification ,,,x,,
Sex chromosome abnormalities and psychiatric diseases,zhang,2017,review,,,,,,sex chromosome abnormalities,,"psychiatric diseases, neurological",,,,,,,,
InterpolatedXY: a two-step strategy to normalize DNA methylation microarray data avoiding sex bias,wang,2022,proposal,,,,sort of?,,,,,,,proposing new method to normalize chromosome data (interpolated XY),,,,,
X-linked ubiquitin-specific peptidase 11 increases tauopathy vulnerability in women,yan,2022,experiment,USP11,,,x,,,,tau burden/alzheimer's ,,,"in vitro/invivo (taupathy) models, brain-tissue",,,,,
The X-linked histone demethylase Kdm6a in CD4+ T lymphocytes modulates autoimmunity,itoh,2019,analysis,KDM6A,?,,x,,exci,,"multple sclerosis, autoimmune",,,gene expression analysis in CD4+ T cells; four core genotype mouse model,,,,,
Neural growth hormone implicated in body weight sex differences,bonthuis ,2013,experiment,?,,,x,chrX dosage,hormones; Gh gne expression,,"behavioral, obseity",,,mice?,,,,,
Messenger RNAs encoding mouse histone macroH2A1 isoforms are expressed at similar levels in male and female cells and result from alternative splicing,rasmussen,1999,study,mHA21,,,,,xci... potentially,,,,,"""we cloned and characterized the genomic locus of the mouse mH2A1 gene and mapped it to chromosome 13""",,,x,,
The X-linked imprinted gene family Fthl17 shows predominantly female expression following the two-cell stage in mouse embryos,kobayashi ,2010,experiment,Fthl17,,,x,,,,,x,,cell models from mice,,,,,
Understanding the Landscape of X-linked Variants Causing Intellectual Disability in Females Through Extreme X Chromosome Inactivation Skewing,vianna,2020,experiment,"NLGN4X, HDAC8, TAF1, and USP9X",,,x,,xci,,intellectual disability ,,,extreme xci skewing to predicr x-linked variants in females,,,,,
Escape from X-Inactivation Tumor Suppressor (EXITS) genes are associated with excess incidence of cancer in men,dunford,2015,,,,,,,,,,,,,,,,,
X-tra X: An escape to autoimmunity,wu,2019,study,,,,x,,,,multiple sclerosis,,,,,,x,,review of itoh (2019)?
Sex-Specific Placental Responses in Fetal Development,rosenfeld,2015,review,,,,x,,,,,x,,mice v human placenta development,,,,,
"Sex Linkage, Sex-Specific Selection, and the Role of Recombination in the Evolution of Sexually Dimorphic Gene Expression",connallon,2010,study,,,x,x,,,,,,,population genetics theory; biologically informed model,,,,,
Sex determines the expression level of one third of the actively expressed genes in bovine blastocysts,bermejo-alvarez,2010,experiment,,x,,x,,sex-specific transcriptional regulation; xci,,,x,,comparing gene-expression pattersn between M/F blastocysts by DNA microarray comparison of nine groups of 60 bovine in vitro-produced blastocysts of each sex; qPCR,,,,,
An integrative view on sex differences in brain tumors,sun,2015,perspective,,,,x,,,,brain tumor,,,,sort of,,,,
A robust and powerful test for case–control genetic association study on X chromosome,wang,2019,proposing new model; meta-analysis,,,,x,,genome-wide association; xci; x-linked genes,,,,,proposing new model for association by taking account of different dosage compensation patterns,,,,,
Impaired imprinted X chromosome inactivation is responsible for the skewed sex ratio following in vitro fertilization,tan,2016,study,RNF12,,,x,,erroneous epigenetic modifications due to environmental perturbations; imprinted xci,,,x,x (xist),mouse models (mouse IVF offspring),,,,,
Allelic inactivation of the pseudoautosomal gene SYBL1 is controlled by epigenetic mechanisms common to the X and Y chromosomes,matazzaro,2002,experiment,SYBL1,,,,,x and y inactivation,,icf syndrome,,dna methylation,dna methylation profiles; sequencing,,,,,
Instability of X chromosome methylation in aberrant crypt foci of the human colon,sakurazawa,2000,study,,,,,,aberrant crypt foci; clonality; k-ras mutations,,,,dna methylation,assessment of aberrant crypts; humara analysis; methylation status,,,,,
The price of silence,lambert,2009,,,,,,,,,,,,,,,,,full text available but no abstract
"Diversity of Epigenetic Features of the Inactive X-Chromosome in NK Cells, Dendritic Cells, and Macrophages",syrett,2018,,"some x-linked genes; Tlr7, Cxcr3, Cd20l; H3K27me3",,,x,dosage compensation,xci,"nk, dendritic, macrophages",autoimmune diseases,,xist,,,,,,
Functional activity of RLIM/Rnf12 is regulated by phosphorylation-dependent nucleocytoplasmic shuttling,jiao,2013,study,Rnf12/RLIM,,,,,regulation by phosphorylation of serine S214,mammary alveolar cell survival,,embryogenesis,sex-specific epigenetic regulation,,,,,,
Gonadal hormone-independent sex differences in GABA(A) receptor activation in rat embryonic hypothalamic neurons,mir,2020,experiment,,,,x,,some hormone stuff,GABA(A) receptors,brain masculinisation,,,rat hypethalamic neurons; calcium imaging and electrophysiology recordings,,,,,
"Touchscreen cognitive deficits, hyperexcitability and hyperactivity in males and females using two models of Cdkl5 deficiency",adhikari,2022,study,CDKL5,,,x,,mutations on chrX; loss of CDKL5,,"neurodevelopmental disorders, CDKL5 deficiency disorder",,,phenotypic study (?); two mice models,,,,,
Sexually dimorphic expression of Usp9x is related to sex chromosome complement in adult mouse brain,xu,2005,,Usp9x,,,x,genomic dose,amount of ubiquitin protease,synaptic development,XO turner syndrome,,,,,,,,
The effect of X-linked dosage compensation on complex trait variation,,,,,,,,,,,,,,,,,,,
Tissue-specific sex differences in human gene expression,kassam,2019,analysis,,x,,x,difference in gene expression in males/females,tissue-specific sex differences,,,,,gtex analysis,,,,,
Abnormal X chromosome inactivation and tumor development,wang,2020,review,"factor-A, lamin B receptor, SMRT- and HDAC-associated repressor",,,x,,xci; EXITS (but not called exits),,cancer,,,,,,,,
Nonmosaic balanced homologous translocations of major clinical significance: Some may be mosaic,kovleva,2007,study,,,,x,,,mosaicism; rearrangement of mitotic origin,,sex-specific centromere instability in early embryogenesis,,cohort study,,,x,,
Methylation of the hypoxanthine phosphoribosyltransferase locus on the human X chromosome: implications for X-chromosome inactivation,wolf,1984,study,genes at HPRT locus,,,,dosage compensation maintained by dna methylation,,,,,dna methylation,,,,x,,
A Key Characteristic of Sex Differences in the Developing Brain: Greater Variability in Brain Structure of Boys than Girls,wierenga,2018,study,,,,x,,,,"cognitive and personality variability, key brain structures",,,cohort study of 643 males and 591 females between 3-21,,,,,
UTX is an escape from X-inactivation tumor-suppressor in B cell lymphoma,li,2018,experiment,"UTX, Efnb1",,,,dosage effect of UTX copy number,EXITS,,"lymphomagenesis, tumor progression, cancer",,,mouse lymphoma model,,,,,
Deletions on mouse Yq lead to upregulation of multiple X- and Y-linked transcripts in spermatids,ellis,2005,study,,,,x,,deletions on mouse chrY long arm,,tetrazoospermia,,,,,,x,,
Transcriptomic analysis of the hippocampus from six inbred strains of mice suggests a basis for sex-specific susceptibility and severity of neurological disorders,vied,2016,analysis,"129S1/SvImJ, A/J, C57BL/6J, DBA/1J, DBA/2J, and PWD/Ph",,,x,,,,"neurological, behavioral disorders",,,"analysis of transcriptomic data from mouse hippocampus of six inbred strains; examine gene ontology and pathway, and phenotype enrichment",,,,,
Allelic mRNA expression of X-linked monoamine oxidase a (MAOA) in human brain: Dissection of epigenetic and genetic factors,pinosonneault,2006,experiment,MAOA,,,,x,pVNTR repeat polymorphism,,mental disorders,,,measured allelic expression imbalance in female human brain tissue,,,,,
Sex-specific gene expression in the blood of four primates,wang,2021,study,seven sex-specific differentially expressed genes,,,x,,sex specific genome expression,,,,,primates,,,,,
A review of the role of female gender in autism spectrum disorders,kirkovski,2013,review,,,,x,,,,autism spectrum disorders,,,,,,,,
Skewed allelic expression on X chromosome associated with aberrant expression of XIST on systemic lupus erythematosus lymphocytes,zhang,2020,study,,?,,x,xist upregulation,x-linked transcription in SLE adaptive immune cells,,"autoimmune diseases, lupus erythematosus",,xist,RNA-seq in T and B cells from healthy donors/patients with SLE; allelic expression analysis; knockdown of XIST in cultured lymphoblastic cells,,,,,
X-linked genetic factors regulate hematopoietic stem-cell kinetics in females,christensen,2000,study,,,,x (but more in elderly women!),,xci; depletion of hematopoietic stem cells followed by random differentiation,,,,,animal models; study of peripheral blood cells ,,,,,
Strong purifying selection at genes escaping X chromosome inactivation,park,2010,study,,,,,,xci; exci,,,,,chromosome wide analysis of primate x-linked orthologs,,,,,
Genome and hormones: Gender differences in physiology invited review: Sex ratio and rheumatic disease,lockshin,2001,review,,,,x,,touch on a bunch (including xci),,autoimmune disease,,,,,,,,
Human induced pluripotent stem cells from two azoospermic patients with Klinefelter syndrome show similar X chromosome inactivation behavior to female pluripotent stem cells,panula,2019,experiment,H3K27me3,x,,,,xci of klinefelter syndrome-derived hiPSCs,human induced pluripotent stem cells,klinefelter genotype,,RNA FISH,hiPSCs based on H3K27me3 staining and x-inactive specific transcript gene expression disregarding the at least three XCI states that female hiPSCs display in culture; azoospermic; whole genome transcriptomics analysis,,,,,
A high-resolution X chromosome copy-number variation map in fertile females and women with primary ovarian insufficiency,yatsenko,2019,study,,,,x,x,sex-based expression of genes on chrX; copy-number variations,,primary ovarian insufficiency,,,high-resolution CNV profiling; cohorts of women affected by primary ovarian insufficiency ,,,x,,
Etiology of myasthenia gravis: Innate immunity signature in pathological thymus,cavalcante,2013,review,,,,,,acetylcholine receptor regulation among immune responses,,myasthenia gravis,,,,,,,,
Sex Bias and Autoimmune Diseases,xing,2022,review,,,x,x,,"heightened immunity; hormones, chrX dosage, sex-biased genes",,autoimmune diseases,,,,,,,,
Highly skewed inactivation of the wild-type X-chromosome in asymptomatic female carriers of spinal and bulbar muscular atrophy (Kennedy's disease),paradas,2008,study,,,,,,skewed inactivation of wild-type chromosome,,spinal and bulbar muscular atrophy,,,family study,,,x,,
Hypothesis: the female excess in cranial neural tube defects reflects an epigenetic drag of the inactivating X chromosome on the molecular mechanisms of neural fold elevation,juriloff,2012,,,,,x,,,,cranial neural tube defect,x,x,,,,x,,
Mutation Update for Kabuki Syndrome Genes KMT2D and KDM6A and Further Delineation of X-Linked Kabuki Syndrome Subtype 2,Bögershausen,2016,study,"KMT2D, KDM6A, KDM6C",,,,,,,kabuki syndrome,,,mutation screening; clinical study,,,,,
Pharmaceutical Implications of Sex-Related RNA Divergence in Psychiatric Disorders,simchovitz-gesher,2020,review,,,,x,,"""from genomics to pharmaceuticals""; transcriptional level differences",,psychiatric disorders,,,,,,,,
Differential expression of steroid sulphatase locus on active and inactive human X chromosome,migeon,1982,study,locus for steroid sulphatase (STS; EC 3.1.6.2),,,,,xci,,,,,we examined two heterozygotes for X-linked STS deficiency who were also heterozygous for the common electrophoretic variants of glucose-6-phosphate dehydrogenase (G6PD A and B),,,,,
IQSEC2-related encephalopathy in males and females: a comparative study including 37 novel patients,mignot,2019,study,IQSEC2,,,x,,exci,,"intellectual disability, epilepsy",,,"comparison of variant and phenotypes, analysis of IQSEC2 isoforms",,,,,
"Root lengths in the permanent teeth of Klinefelter (47,XXY) men",lahdesmaki,2007,study,,,,,,,,"teeth, klinefelter",,,,,,,x,i literally don't gaf this is not relevant to what we're doing
"COVID-19, the Female Immune Advantage, and Cardiovascular Impact",gersh,2021,,,,,,,,,,,,,,,,,"no abstract, full text available"
Integrative transcriptome meta-analysis reveals widespread sex-biased gene expression at the human fetal-maternal interface,buckberry,2014,analysis,,x,,x,sex-based gene regulation,,,,x (re: placenta),,gene expression data meta analysis,,,,,
Testing for evidence of an X-linked genetic basis for a greater proportion of males with high cognitive ability,giummo,2012,study,,,,x,,"""variabiloty of expression on chrX""",,cognitive ability,,,"proposing method; ""utilizes exogenous variation in the maternal X chromosome of twins to test the effect of sex on within-pair variation""; linear regression model",,,,,
Is the handedness gene on the X chromosome? Comment on Jones and Martin (2000),corballis,2001,commentary,,,,,,handedness,,,,,,,,,,
The analysis of X-chromosome inactivation-related gene expression from single mouse embryo with sex-determination,jeong,2005,study,"xist, tsix, SUV39H1, SET7, and DNMT1",,,,,chromatin remodeling by histone and DNA modification; xci,,,x,x,transcriptional analysis; early mouse single embryo,,,,,
Left ventricular hypertrophy in Fabry disease: A practical approach to diagnosis,yousef,2013,,,,,,,,,,,,,,,,,
Examining Sex Differences in the Human Placental Transcriptome During the First Fetal Androgen Peak,braun,2021,study,"CCRL2, LGALS13, LGALS14",,,x,,sex-linked gene expression,,,x,,"""we survey the human chorionic villus (CV) transcriptome for sex-linked signatures from 11 to 16 gestational weeks, corresponding to the first window of increasing testis-derived androgen production in male fetuses""; RNA seq",,,,,
Transcriptional sexual dimorphism in elongating bovine embryos: Implications for XCI and sex determination genes,bermejo-alvarez,2011,study,"X24112, BEX2, UBE2A, G6PD, BEX1, CAPN6, SAT1, DNMT3A, IFNT2, GSTM3, PGRMC1, LAMA1, WT1, GATA4, ZFPM2, DMRT1",,,x,,xci timing,,,x (blastocyst antics),,bovine embryos,,,,,
Molecular studies of major depressive disorder: the epigenetic perspective,mill,2007,,,,,,,,,major depressive disorder,,x,,,,,,
Challenges with X chromosome analyses and reporting in genome-wide association studies (GWAS),wang,2021,review,,,,,,,,,,,talking about gwas,,,,,
Evidence from autoimmune thyroiditis of skewed X-chromosome inactivation in female predisposition to autoimmunity,ozcelik,2006,study,,,,x,,xci mosaicism,,autoimmune thyroid diseases,,,"androgen receptor loxus was analyzed; thyroid biopsy, buccal mucosa, hair follicle",,,,,
Testing and estimation of X-chromosome SNP effects: Impact of model assumptions,song,2021,,,,,,,chrX SNPs,,,,,performed simulations to demonstrate the impact of chrX model assumptions on effect estimaes; proposing method?,,,x,,
"Clinical, biochemical, and genetic characterization of north American patients with erythropoietic protoporphyria and x-linked protoporphyria",balwani,2017,study,FECH,,,,,,,autosomal recessive erythropoietic protoporphyria and x-linked protoporphyria,,,"prospective observational study to determine baseline clinical characteristics, genotypes, and determinants of disease severity",,,,,
Cutting edge: CXCR3 escapes X chromosome inactivation in T cells during infection: Potential implications for sex differences in immune responses,oghumu,2019,study,CXCR3,,,x,,xci/exci,immune cells (T cells),,,,bicistronic CXCR3 dual-reporter mouse,,,,,
Molecular biology: Regulation of X-chromosome counting by Tsix and Xite sequences,lee,2005,experiment,noncoding tsix and xite,,,,chrX dosage parity,xci,,,,,mouse knockout and transgeninc analysis,,,,,
The Lyon Hypothesis,davidson,1964,,,,,,,,,,,,,,,,,
Beckwith-Wiedemann syndrome and pseudohypoparathyroidism type Ib in a patient with multilocus imprinting disturbance: a female-dominant phenomenon?,sano,2016,case study,,,,x,,multilocus disturbance at differentially methylated regions; marked methylation defects; xci,,imprinting disorders,,,molecular studies,,,,,
X-inactivation modifies disease severity in female carriers of murine X-linked Alport syndrome,rheault,2010,experiment,Col4a5,,,,,xci,,x-linked alport syndrome,,,mouse model; allele-specific mRNA expression assays,,,,,
Monoallelic expression of MAOA in skin fibroblasts,nordquist,2006,study,x-linked MAO-A gene,,,x,,xci mosaicism; exci,,serotonin system,embryonic development,,,,,,,
Cross-reactive DNA microarray probes lead to false discovery of autosomal sex-associated DNA methylation,chen,2012,,,,,,,,,,,,,,,,,
A review of X-linked Charcot-Marie-Tooth disease,wang,2016,review,CMTX/CMT,,,,,central nervous system manifestations of CMTX1,,"charcot-marie-tooth disease, nervous system",,,,,,,,
AFF3-DNA methylation interplay in maintaining the mono-allelic expression pattern of XIST in terminally differentiated cells,zhang,2019,experiment,AFF3,,,,,"xci, genomic imprinting",,,,x,,,,x,,
Sex differences in autoimmune disease,lockshin,2006,review,,,,x,,,,autoimmune diseases,,,,,,,,
"Blood, sex and tears: speculations on the gender imbalance in hematologic malignancies",van de berghe,2012,,,,,,,,,,,,,,,,,
A model incorporating potential skewed X-inactivation in MZ girls suggests that X-linked QTLs exist for several social behaviours including autism spectrum disorder,loat,2008,longitudinal cohort study,,,,x,,stochastic patterns of xci ,,autism spectrum disorders,,,longitudinal cohort study,,,,,
A type 1 diabetes subgroup with a female bias is characterised by failure in tolerance to thyroid peroxidase at an early age and a strong association with the cytotoxic T-lymphocyte-associated antigen-4 gene,howson,2007,study,"CTLA4, PTPN22",,,,,,,"type 1 diabetes, autoimmune thyroid diseae",,,"""Using thyroid peroxidase autoantibodies (TPOAbs) as an indicator of thyroid autoimmunity, we assessed whether the association of these loci is different in type 1 diabetes patients with TPOAbs than in those without""",,,x,,
The MECP2 variant c.925C>T (p.Arg309Trp) causes intellectual disability in both males and females without classic features of Rett syndrome,Schönewolf-Greulich,2016,clinical study,"MECP2, ARG309",,,,,xci pattern,,rett syndrome,,,clinical descriptions,,,,,
Autosomal chromosome microdeletions in three adolescent girls with premature ovarian insufficiency: a case report,yuan,2022,study,,,,,,autosomal chromosome microdeletions in ovarian failure,,premature ovarian insufficiency,,,"clinical evaluation, hormonal tests, abdominal ultrasonography, chromosome karyotyping",,,,,pediatric
Charcot-marie-tooth disease type 1X in women: Electrodiagnostic findings,jerath,2016,study,,,,x?,,,,charcot-marie-tooth disease type 1X,,,retrospective review of electrodiagnostic findings,,,,,
Methylation and sequence analysis around EagI sites: identification of 28 new CpG islands in XQ24-XQ28,tribioli,1992,,,,,,,,,,,,,,,x,,honestly unsure how to decipher this but i'm pretty sure it's not relevant to us
Kallmann syndrome: Fibroblast growth factor signaling insufficiency?,dode,2004,,"KAL1, FGFR1",,,,,,,kallmann syndrome,,,analysis of mutant mouse embryos,,,,,
Age related reactivation of an X-linked gene,wareham,1987,experiment,,,,,,age-related reactivation of chrX,,,,,mouse cell model,,,,,
Influence of gender in muscle disorders,mongini,2014,review,,,,x,,chrX abnormalities ,,muscle disorders,,,,,,,,
Effects of Treatment with Oxandrolone for 4 Years on the Frequency of Severe Arithmetic Learning Disability in Girls with Turner Syndrome,ross,2009,study,,,,,,,,turner sydrome,,,four year long clinical study,androgen treatment performance,,,,
