"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"11",53,"Skewed X chromosome inactivation and female preponderance in autoimmune thyroid disease: an association study and meta-analysis",2014,"J Clin Endocrinol Metab","Simmonds, M. J. and Kavvoura, F. K. and Brand, O. J. and Newby, P. R. and Jackson, L. E. and Hargreaves, C. E. and Franklyn, J. A. and Gough, S. C.","CONTEXT: A number of small data sets have suggested a potential role for skewed X chromosome activation (XCI), away from the expected 50:50 parent of origin ratio, as an explanation for the strong female preponderance seen in the common autoimmune thyroid diseases (AITD), Graves' disease (GD), and Hashimoto's thyroiditis (HT). OBJECTIVE: The objective of the study was to confirm a role for XCI skewing as a potential explanation for the strong female preponderance seen in AITD. DESIGN: The design of the study was to screen XCI in the largest GD, HT, and control case-control cohort and family cohort to date and undertake a meta-analysis of previous AITD XCI reports. SETTING: The study was conducted at a research laboratory. PATIENTS: Three hundred and nine GD, 490 HT, and 325 female UK Caucasians controls, 273 UK Caucasian GD families, and a meta-analysis of 454 GD, 673 HT, and 643 female Caucasian controls were included in the study. MAIN OUTCOME MEASURES: Case-control and family-based association studies and meta-analysis were measured. RESULTS: Skewed XCI was observed with GD [odds ratio (OR) 2.17 [95% confidence interval (CI) 1.43-3.30], P=2.1×10(-4)] and a trend toward skewing with HT (P=.08) compared with the control cohort. A meta-analysis of our UK data and that of four previous non-UK Caucasian studies confirmed significant skewing of XCI with GD [OR 2.54 (95% CI 1.58-4.10), P=1.0×10(-4), I2=30.2%] and HT [OR 2.40 (95% CI 1.10-5.26), P=.03, I2=74.3%]. CONCLUSIONS: Convincing evidence exists to support a role for skewed XCI in female subjects with AITD, which may, in part, explain the strong female preponderance observed in this disease.","experiment, meta-analysis","","","","XCI skewage","","autoimmune thyroid diseases, graves' disease, hashimoto's thyroiditis","","human study","","","",""
"12",59,"The X chromosome and the sex ratio of autoimmunity",2012,"Autoimmun Rev","Selmi, C. and Brunetta, E. and Raimondo, M. G. and Meroni, P. L.","The number of human conditions that are currently considered to be autoimmune diseases (AID) has been steadily growing over the past decades and it is now estimated that over 10 million people are affected in the United States. One of the major shared features among AID is the predominance in the female sex which in some cases changes with the age at disease diagnosis. Numerous hypotheses have been formulated based on intuitive scientific backgrounds to justify this sex imbalance, i.e. sex hormones and reproductive factors, fetal microchimerism, other sex-related environmental factors, a skewing of the X-chromosome inactivation patterns, and major defects in sex chromosomes. Nevertheless, none of these hypotheses has thus far gathered enough convincing evidence and in most cases data are conflicting, as well illustrated by the reports on fetal microchimerism in systemic sclerosis or primary biliary cirrhosis. The present article will critically discuss the main hypotheses (loss of mosaicism, reactivation, and haploinsufficiency) that have been proposed based on findings in female patients with specific AID along with two additional mechanisms (X-chromosome vulnerability and X-linked polyamine genes) that have been observed in AID models. Further, recent data have significantly shifted the paradigm of X chromosome inactivation by demonstrating that a large number of genes can variably escape silencing on one or both chromosomes. As a result we may hypothesize that more than one mechanism may contribute to the female susceptibility to tolerance breakdown while the possibility that unknown factors may indeed protect men from AID should not be overlooked.","review","","x","","x","loss of mosaicism, reactivation, haploinsufficiency, X-chromosome vulnerability, X-linked polyamine genes","autoimmune","","","","","","Might be good to separate papers based on male or female bias in disease"
"13",60,"Sex differences in spontaneous versus induced animal models of autoimmunity",2012,"Autoimmunity Reviews","Lee, T. P. and Chiang, B. L.","There is a supposed link between autoimmune diseases and sex hormones. To better understand the pathogenesis of human autoimmune diseases, an animal model is a good tool that can also help in developing novel therapeutics for diseases. Animal models of diseases can be divided into naturally occurring or induced by physical, chemical, or biological factors. Most human autoimmune diseases like systemic lupus erythematosus (SLE), Sjogren's syndrome (SS), primary biliary cirrhosis (PBC), Hashimoto's thyroiditis (HT), rheumatoid arthritis (RA), and multiple sclerosis (MS) have increased incidence and prevalence in females, but so far, sex differences and hormone therapy in spontaneous or chemical induced animal models of autoimmunity are not entirely clear. Possible reasons for the differing incidence and prevalence of autoimmune diseases in human and animal models is the focus of interest. This review described the known effects of the female sex hormones, estrogen and progesterone, on immune cells in order to clarify sex differences in autoimmune diseases. Data from both human and autoimmune animal studies were reviewed to determine reasons for these differences, and to integrate the role of sex differences and hormone therapy in spontaneous- versus chemical-induced animal models of human autoimmune diseases to clarify sex differences in autoimmunity. (C) 2011 Published by Elsevier B.V.","review","","","","","sex hormones","autoimmune","","animal and human data","","","",""
"14",61,"Gender and the regulation of longevity: Implications for autoimmunity",2012,"Autoimmunity Reviews","Pan, Z. and Chang, C.","For humans and other animals, gender has an influence not only on their physical attributes, but also on life span. In humans, females have a longer life span than males. The reasons for this are not entirely clear. The role of gender in the regulation of longevity may be linked to gender specific genetic differences, including the expression of sex hormone patterns and the changes in these patterns during an individual's lifetime. In addition, the effect of sex hormones on other physiologic responses to environmental influences on cellular stress and oxidative damage may play a role in longevity. Gender can impact many disease states, including autoimmune diseases, and the factors that affect the development of autoimmune diseases and the regulation of longevity may share common mechanistic pathways. Other factors that may play a role include telomere and telomerase related differences, caloric restriction and changes in mitochondrial DNA. Inflammatory and regulatory pathways such as insulin/IGF signaling and Target of Rapamycin (TOR) signaling may also play a role in longevity and aging-related diseases such as Alzheimer's. The role of gender differences in the regulation of these pathways or factors is not entirely clear. The role of X-chromosome inactivation in longevity has also yet to be fully elucidated. © 2011 Elsevier B.V.","review?","","","","","","autoimmune, longevity","","","","x","","seems very broad to include"
"15",62,"The role of gender and organ specific autoimmunity",2012,"Autoimmunity Reviews","Nussinovitch, U. and Shoenfeld, Y.","Autoimmunity is influenced by multiple factors including gender and sex hormones. A definite female predominance is found in many autoimmune diseases. Gender is also associated with differences in clinical presentation, onset, progression and outcome of autoimmune diseases. Sex hormones might influence the target organ's vulnerability to an autoimmune response. Gender differences also exist in organ specific autoimmune diseases such as multiple sclerosis, Guillain-Barré syndrome, Crohn's disease and celiac disease. Nevertheless, other organ specific autoimmune diseases (i.e. ulcerative colitis) are seemingly characterized with similar prevalence in both males and females. The reason for gender differences in certain autoimmune diseases remains unknown, but may be attributed to sex hormone influence, fetal microchimerism, X chromosome inactivation, and X chromosome abnormalities. Sex hormones have been found to have immune modulating properties, as well as providing cellular protection following tissue damage in certain circumstances. Sex hormones also influence innate and adaptive immune cells, number of B and T cells, antigen presentation and cytokine secretion. Herein, we review the influence of gender on organ-specific autoimmune diseases affecting the heart, blood vessels, central nervous system and gastrointestinal tract. It appears that sex hormones may have a therapeutic potential in several autoimmune conditions, although further research is required before therapeutic recommendations can be made. © 2011 Elsevier B.V.","review","","","","","sex hormones","autoimmune","","","","","",""
"16",66,"Type I Interferon and the Spectrum of Susceptibility to Viral Infection and Autoimmune Disease: A Shared Genomic Signature",2021,"Front Immunol","Sugrue, J. A. and Bourke, N. M. and O'Farrelly, C.","Type I interferons (IFN-I) and their cognate receptor, the IFNAR1/2 heterodimer, are critical components of the innate immune system in humans. They have been widely explored in the context of viral infection and autoimmune disease where they play key roles in protection against infection or shaping disease pathogenesis. A false dichotomy has emerged in the study of IFN-I where interferons are thought of as either beneficial or pathogenic. This 'good or bad' viewpoint excludes more nuanced interpretations of IFN-I biology - for example, it is known that IFN-I is associated with the development of systemic lupus erythematosus, yet is also protective in the context of infectious diseases and contributes to resistance to viral infection. Studies have suggested that a shared transcriptomic signature underpins both potential resistance to viral infection and susceptibility to autoimmune disease. This seems to be particularly evident in females, who exhibit increased viral resistance and increased susceptibility to autoimmune disease. The molecular mechanisms behind such a signature and the role of sex in its determination have yet to be precisely defined. From a genomic perspective, several single nucleotide polymorphisms (SNPs) in the IFN-I pathway have been associated with both infectious and autoimmune disease. While overlap between infection and autoimmunity has been described in the incidence of these SNPs, it has been overlooked in work and discussion to date. Here, we discuss the possible contributions of IFN-Is to the pathogenesis of infectious and autoimmune diseases. We comment on genetic associations between common SNPs in IFN-I or their signalling molecules that point towards roles in protection against viral infection and susceptibility to autoimmunity and propose that a shared transcriptomic and genomic immunological signature may underlie resistance to viral infection and susceptibility to autoimmunity in humans. We believe that defining shared transcriptomic and genomic immunological signatures underlying resistance to viral infection and autoimmunity in humans will reveal new therapeutic targets and improved vaccine strategies, particularly in females.","review","IFN-I","x","","","immune system","autoimmune","","SNP","","","",""
"17",70,"Sexual Dimorphism in Innate Immunity: The Role of Sex Hormones and Epigenetics",2020,"Front Immunol","Shepherd, R. and Cheung, A. S. and Pang, K. and Saffery, R. and Novakovic, B.","Sexual dimorphism refers to differences between biological sexes that extend beyond sexual characteristics. In humans, sexual dimorphism in the immune response has been well demonstrated, with females exhibiting lower infection rates than males for a variety of bacterial, viral, and parasitic pathogens. There is also a substantially increased incidence of autoimmune disease in females compared to males. Together, these trends indicate that females have a heightened immune reactogenicity to both self and non-self-molecular patterns. However, the molecular mechanisms driving the sexually dimorphic immune response are not fully understood. The female sex hormones estrogen and progesterone, as well as the male androgens, such as testosterone, elicit direct effects on the function and inflammatory capacity of immune cells. Several studies have identified a sex-specific transcriptome and methylome, independent of the well-described phenomenon of X-chromosome inactivation, suggesting that sexual dimorphism also occurs at the epigenetic level. Moreover, distinct alterations to the transcriptome and epigenetic landscape occur in synchrony with periods of hormonal change, such as puberty, pregnancy, menopause, and exogenous hormone therapy. These changes are also mirrored by changes in immune cell function. This review will outline the evidence for sex hormones and pregnancy-associated hormones as drivers of epigenetic change, and how this may contribute to the sexual dimorphism. Determining the effects of sex hormones on innate immune function is important for understanding sexually dimorphic autoimmune diseases, sex-specific responses to pathogens and vaccines, and how innate immunity is altered during periods of hormonal change (endogenous or exogenous).","review","","x","","","sex hormones","autoimmune","x","","","","",""
"18",75,"Loss of epigenetic modifications on the inactive X chromosome and sex-biased gene expression profiles in B cells from NZB/W F1 mice with lupus-like disease",2020,"J Autoimmun","Syrett, C. M. and Sierra, I. and Beethem, Z. T. and Dubin, A. H. and Anguera, M. C.","The mechanisms underlying the female-bias in autoimmunity are poorly understood. The contribution of genetic and epigenetic factors from the inactive X chromosome (Xi) are beginning to emerge as critical mediators of autoimmunity in females. Here, we ask how epigenetic features of the Xi change during disease development in B cells from the NZB/W F1 spontaneous mouse model of lupus, which is female-biased. We find that Xist RNA becomes increasingly mislocalized from the Xi with disease onset. While NZB/W F1 naïve B cells have H3K27me3 foci on the Xi, which are missing from healthy C57BL/6 and BALB/c mice, these foci are progressively lost in stimulated B cells during disease. Using single-molecule RNA FISH, we show that the X-linked gene Tlr7 is biallelically expressed in ~20% of NZB/W F1 B cells, and that the amount of biallelic expression does not change with disease. We also present sex-specific gene expression profiles for diseased NZB/W F1 B cells, and find female-specific upregulation of 20 genes, including the autoimmunity-related genes Cxcl13, Msr1, Igj, and Prdm1. Together, these studies provide important insight into the loss of epigenetic modifications from the Xi and changes with gene expression in a mouse model of female-biased SLE.","experiment","Tlr7, Cxcl13, Msr1, Igj, Prdm1","","","","B cells","lupus","x","single-molecule RNA FISH","","","",""
"19",77,"Assessment of escape from X chromosome inactivation and gene expression in single human immune cells",2021,"STAR protocols","Hagen, S. H. and Hennesen, J. and Altfeld, M.","X-chromosomal genes escaping from X chromosome inactivation (XCI) in immune cells can contribute to sex-specific differences in immune responses. This protocol describes the specific steps to determine escape from XCI and to simultaneously quantify mRNA expression of multiple genes at the single immune cell level using a single-nucleotide polymorphism approach. The protocol furthermore allows the analysis of allele-specific expression of X-chromosomal genes. For complete details on the use and execution of this protocol, please refer to Hagen et al. (2020).","protocol","","","","","XCI","autoimmune","x","SNP","","","",""
"20",152,"Sexual dimorphism in autoimmunity",2015,"Journal of Clinical Investigation","Rubtsova, K. and Marrack, P. and Rubtsov, A. V.","Autoimmune diseases occur when the immune system attacks and destroys the organs and tissues of its own host. Autoimmunity is the third most common type of disease in the United States. Because there is no cure for autoimmunity, it is extremely important to study the mechanisms that trigger these diseases. Most autoimmune diseases predominantly affect females, indicating a strong sex bias. Various factors, including sex hormones, the presence or absence of a second X chromosome, and sex-specific gut microbiota can influence gene expression in a sex-specific way. These changes in gene expression may, in turn, lead to susceptibility or protection from autoimmunity, creating a sex bias for autoimmune diseases. In this Review we discuss recent findings in the field of sex-dependent regulation of gene expression and autoimmunity.","review","","","","","","autoimmune","","","","maybe","",""
"21",154,"Characterization of cxorf21 Provides Molecular Insight Into Female-Bias Immune Response in SLE Pathogenesis",2019,"Front Immunol","Harris, V. M. and Koelsch, K. A. and Kurien, B. T. and Harley, I. T. W. and Wren, J. D. and Harley, J. B. and Scofield, R. H.","Background: Ninety percent of systemic lupus erythematosus (SLE) patients are women. X chromosome-dosage increases susceptibility to SLE and primary Sjögren's syndrome (pSS). Chromosome X open reading frame 21 (CXorf21) escapes X-inactivation and is an SLE risk gene of previously unknown function. We undertook the present study to delineate the function of CXorf21 in the immune system as well as investigate a potential role in the sex bias of SLE and pSS. Methods: Western blot protein analysis, qPCR, BioPlex cytokine immunoassay, pHrodo™ assays, as well as in vitro CRISPR-Cas9 knockdown experiments were employed to delineate the role of CXorf21 in relevant immunocytes. Results: Expressed in monocytes and B cells, CXorf21 basal Mrna, and protein expression levels are elevated in female primary monocytes, B cells, and EBV-transformed B cells compared to male cells. We also found CXorf21 mRNA and protein expression is higher in both male and female cells from SLE patients compared to control subjects. TLR7 ligation increased CXorf21 protein expression and CXorf21 knockdown abrogated TLR7-driven increased IFNA1 mRNA expression, and reduced secretion of both TNF-alpha and IL-6 in healthy female monocytes. Similarly, we found increased pH in the lysosomes of CXorf21-deficient female monocytes. Conclusion: CXorf21 is more highly expressed in female compared to male cells and is involved in a sexually dimorphic response to TLR7 activation. In addition, CXorf21 expression regulates lysosomal pH in a sexually dimorphic manner. Thus, sexually dimorphic expression of CXorf21 skews cellular immune responses in manner consistent with expected properties of a mediator of the X chromosome dose risk in SLE and pSS.","experiment","CXORF21, TLR7","","","","gene/protein function","systemic lupus erythematosus (sle), autoimmune, sjögren's syndrome (pss)","-","Western blot protein analysis, qPCR, BioPlex cytokine immunoassay, pHrodo™ assays, CRISPR-Cas9 knockdown","","","",""
