"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"52","LncRNA Xist may regulate Th17 cell differentiation through TDP43-IRF3 pathway in neuromyelitis optica spectrum disorders","guo",2022,"study, hypothesis proposal","TDP43","","","","","""xist-related pathway""; xci","peripheral blood mononuclear cell","neuromyelitis optica spectrum disorder, nmsod","","","blood cell analysis?","","","","",""
"53","SeXX Matters in Multiple Sclerosis","gilli",2020,"review","","","","x","","","","multiple sclerosis","","","","","","","",""
"54","The Role of Epigenetics in Primary Biliary Cholangitis","gerussi",2022,"review","","","","x","","","","primary biliary cholangitis","","","","","","","",""
"55","Maternal Antibody and ASD: Clinical Data and Animal Models","gata-garcia",2019,"review","","","","x","","","","neuropsychiatric and neurodevelopmental disorders, immunity, autoimmune disorders","","","","","","","",""
"56","Long non-coding RNA Xist contribution in systemic lupus erythematosus and rheumatoid arthritis","bost",2022,"","xist","","","","","lncRNA, xci","","sle","","","","","","","",""
"57","Trisomy X in a patient with childhood-onset systemic lupus erythematosus","barbosa",2020,"case study","","","","x","","","","childhood-onset sle, sle","","","","","","","",""
"58","Dynamic mechanisms of Xist RNA localization in female lymphocytes: A new form of X-chromosome Inactivation maintenance","anguera",2018,"study","","","","x","","xci","lymphocytes","immune response, autoimmune disease","","","xci mechanic","","","","","come back to this"
"59","Meta-analysis of GWAS on two Chinese populations followed by replication identifies novel genetic variants on the X chromosome associated with systemic lupus erythematosus","zhang",2015,"meta-analysis","x-linked genes","","","x","","","","sle","","","meta-analysis of two GWAS ","","","","",""
"60","Genetic epidemiology of rheumatoid disease","ollier",1995,"","DRB1","","","","","","human leukocyte antigens (HLA)","rheumatoid arthritis","","","","","","","",""
"61","Contributing factors in multiple sclerosis and the female sex bias","khalid",2014,"review","","","","x","","","","autoimmune disease, multiple sclerosis, ms","","","","","","","",""
"62","Sex differences in neuro(auto)immunity and chronic sciatic nerve pain","linher-melville",2020,"review","","","","x","","","antigens, immune cells","chronic pain, autoimmune disease","","","","","","","",""
"63","Puberty Is Associated with a Marked Increase of the Female Sex Predominance in Chronic Autoimmune Thyroiditis","mariotti",2009,"study","","","","x","","puberty","","chronic autoimmune thyroiditis","","","""The F: M ratio of 133 children with CAT (group A, age at diagnosis 2.4-17.7 years) was compared with that of 113 adult CAT patients (group B, age at diagnosis 21-79 years)""","","","","",""
"64","Assessment of escape from X chromosome inactivation on the single cell level in human pDCs","hagen",2019,"experiment","TLR7","","","x","","exci, differential gene expression (biallelic v monoallelic)","plasmacytoid dendritic cells","infectious, autoimmune disease","","","""The aim of this project was to investigate on the single cell level whether pDCs with escape from XCI in TLR7 have a superior capacity of transcribing IFNα mRNA""","","","","",""
"65","The Unexplained Female Predominance of Systemic Lupus Erythematosus: Clues from Genetic and Cytokine Studies","Weckerie",2011,"review","","","","x","","cytokine pathways","","sle","","","","","","","",""
"66","Deconstructing the sex bias in allergy and autoimmunity: From sex hormones and beyond","Laffont",2019,"review","TLR7","","","x","","exci","","autoimmune, sle, asthma, immunological","","","immune cells","","","","",""
"67","Autoimmunity and Klinefelter's syndrome: when men have two X chromosomes","Sawalha",2009,"review","CD40L, Xq28","","","x","","xci, exci","","autoimmune, klinefelter's syndrome, ks, sle, turner's syndrome","","","","","","","",""
"68","Enjoy the silence: X-chromosome inactivation diversity in somatic cells","Sierra",2019,"review","","","","x","","exci","","immune, autoimmunity","","","","","","","",""
"69","Nonhormonal explanations for sex discrepancy in human illness: Annals of the New York Academy of Sciences","Lockshin",2010,"review","","","","x","","","","autoimmune, pregnacy","","","","","","probs","",""
"70","Sex bias in paediatric autoimmune disease - Not just about sex hormones?","Chiaroni-Clarke",2016,"review","","","","x","","","","autoimmune, juvenile idiopathic arthritis, jia, paediatric","","","","","","","",""
"71","X chromosome signatures associated with the microRNome of human peripheral blood CD4+ T cells; integrating the epimicroRNome into the molecular basis of human lupus","Hewagama",2010,"analysis","","miRNA, dna demethylation","","x","","miRNA overexpression","CD4+ T cells","autoimmune, lupus","","","","","","","",""
"72","Role of gender in multiple sclerosis: Clinical effects and potential molecular mechanisms","Greer",2011,"review","","","","x","","","","multiple sclerosis, ms, immune, nervous system","","","","","","","",""
"73","Sexual dimorphism in SLE: above and beyond sex hormones","Christou",2019,"review","","","","x","","mutations","","sle, autoimmune","","","","","","","",""
"74","Female predominance of autoimmune diseases: Do lymphocytes have a sex?","Miquel",2021,"","","","","x","","exci, X chromosome mosaicism","","autoimmune","","","","","","","",""
