key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-902924798,"Diversity of Epigenetic Features of the Inactive X-Chromosome in NK Cells, Dendritic Cells, and Macrophages",2018,,,Front Immunol,1664-3224,9,,3087,"Syrett, C. M. and Sindhava, V. and Sierra, I. and Dubin, A. H. and Atchison, M. and Anguera, M. C.",,,,,"In females, the long non-coding RNA Xist drives X-chromosome Inactivation (XCI) to equalize X-linked gene dosage between sexes. Unlike other somatic cells, dynamic regulation of Xist RNA and heterochromatin marks on the inactive X (Xi) in female lymphocytes results in biallelic expression of some X-linked genes, including Tlr7, Cxcr3, and Cd40l, implicated in sex-biased autoimmune diseases. We now find that while Xist RNA is dispersed across the nucleus in NK cells and dendritic cells (DCs) and partially co-localizes with H3K27me3 in bone marrow-derived macrophages, it is virtually absent in plasmacytoid DCs (p-DCs). Moreover, H3K27me3 foci are present in only 10-20% of cells and we observed biallelic expression of Tlr7 in p-DCs from wildtype mice and NZB/W F1 mice. Unlike in humans, mouse p-DCs do not exhibit sex differences with interferon alpha production, and interferon signature gene expression in p-DCs is similar between males and females. Despite the absence of Xist RNA from the Xi, female p-DCs maintain dosage compensation of six immunity-related X-linked genes. Thus, immune cells use diverse mechanisms to maintain XCI which could contribute to sex-linked autoimmune diseases.","1664-3224 Syrett, Camille M Sindhava, Vishal Sierra, Isabel Dubin, Aimee H Atchison, Michael Anguera, Montserrat C T32 HD083185/HD/NICHD NIH HHS/United States R01 GM042415/GM/NIGMS NIH HHS/United States R01 GM111384/GM/NIGMS NIH HHS/United States T32 GM007229/GM/NIGMS NIH HHS/United States R01 AI079002/AI/NIAID NIH HHS/United States F31 GM123604/GM/NIGMS NIH HHS/United States Journal Article Research Support, N.I.H., Extramural Research Support, Non-U.S. Gov't Switzerland 2019/01/24 Front Immunol. 2019 Jan 8;9:3087. doi: 10.3389/fimmu.2018.03087. eCollection 2018. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.3389/fimmu.2018.03087,"Analysis of Variance;Animals;Cell Nucleus/metabolism;Dendritic Cells/*physiology;Dosage Compensation, Genetic;*Epigenesis, Genetic;Female;Gene Expression Regulation;Genes, X-Linked;*Genetic Variation;Heterochromatin/metabolism;Killer Cells, Natural/*physiology;Macrophages/*physiology;Male;Membrane Glycoproteins/metabolism;Mice;Mice, Inbred NZB;RNA, Long Noncoding/genetics/metabolism;Spleen/cytology;Toll-Like Receptor 7/metabolism;X Chromosome/*genetics;X Chromosome Inactivation/*genetics",,
rayyan-902924815,Skewed allelic expression on X chromosome associated with aberrant expression of XIST on systemic lupus erythematosus lymphocytes,2020,,,Human Molecular Genetics,1460-2083 0964-6906,29,15,2523-2534,"Zhang, Y. and Li, X. and Gibson, A. and Edberg, J. and Kimberly, R. P. and Absher, D. M.",https://www.embase.com/search/results?subaction=viewrecord&id=L2008419845&from=exporthttp://dx.doi.org/10.1093/hmg/ddaa131,,,,"A common feature of autoimmune diseases, including systemic lupus erythematosus (SLE), is an increased prevalence in women. However, the molecular basis for sex disparity in SLE remains poorly understood. To examine the role of X-linked transcription in SLE adaptive immune cells, we performed RNA-seq in T cell and B cell subsets from either healthy donors or patients with SLE. Analyses of allelic expression (AE) profiles identified a pattern of increased allelic imbalance across the entire X chromosome in SLE lymphocytes. X-linked genes exhibiting AE in SLE had an extensive overlap with genes known to escape X chromosome inactivation (XCI). XIST RNA was overexpressed in SLE patients. Differential XIST expression correlated with AE profiles more positively at X-linked genes than the genome-wide background. Analysis of three independent RNA-seq data verified the XIST-associated skewed AE on X chromosome in SLE. Integrative analyses of DNA methylation profiles showed an increased variability of DNA methylation levels at these AE-related X-linked genes. In cultured lymphoblastic cells, knockdown of XIST specifically altered allelic imbalance patterns between X chromosomes. Our study provides genetic evidence that upregulation of XIST accompanied with more skewed allelic expression on X chromosome is associated with the pathogenesis of SLE and may provide mechanistic insights into the increased incidence of SLE in females.","L2008419845 2020-11-09 2020-12-16 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1093/hmg/ddaa131,long untranslated RNA;unclassified drug;X inactive specific transcript;adaptive immunity;adult;allele;allelic imbalance;article;B lymphocyte subpopulation;clinical article;controlled study;DNA methylation;female;gene expression;gene overexpression;human;human cell;immunocompetent cell;lymphocyte;priority journal;RNA sequencing;systemic lupus erythematosus;T lymphocyte subpopulation;upregulation;X chromosome;X chromosome inactivation;Alleles;X Chromosome;Lymphocytes,,
rayyan-902924818,Genome and hormones: Gender differences in physiology invited review: Sex ratio and rheumatic disease,2001,,,Journal of Applied Physiology,8750-7587,91,5,2366-2373,"Lockshin, M. D.",https://www.embase.com/search/results?subaction=viewrecord&id=L33015094&from=exporthttp://dx.doi.org/10.1152/jappl.2001.91.5.2366,,,,"Human illnesses affect men and women differently. In some cases (diseases of sex organs, diseases resulting from X or Y chromosome mutations), reasons for sex discrepancy are obvious, but in other cases no reason is apparent. Explanations for sex discrepancy of illness occur at different biological levels: molecular (e.g., imprinting, X-inactivation), cellular (sex-specific receptor activity), organ (endocrine influences), whole organism (size, age), and environmental-behavioral, including intrauterine influences. Autoimmunity represents a prototypical class of illness that has high female-to-male (F/M) ratios. Although the F/M ratios in autoimmune diseases are usually attributed to the influence of estrogenic hormones, evidence demonstrates that the attributed ratios are imprecise and that definitions and classifications of autoimmune diseases vary, rendering at least part of the counting imprecise. In addition, many studies on sex discrepancy of human disease fail to distinguish between disease incidence and disease severity. In April 2001, the Institute of Medicine of the National Academy of Sciences published Exploring the Biological Contributions to Human Health: Does Sex Matter? (Wizemann T and Pardue M-L, editors). This minireview summarizes the section of that report that concerns autoimmune and infectious disease. Some thyroid, rheumatic, and hepatic autoimmune diseases have high F/M ratios, whereas others have low. Those that have high ratios occur primarily in young adulthood. Gonadal hormones, if they play a role, likely do so through a threshold or permissive mechanism. Examples of sex differences that could be caused by environmental exposure, X inactivation, imprinting, X or Y chromosome genetic modulators, and intrauterine influences are presented as alternate, theoretical, and largely unexplored explanations for sex differences of incidence. The epidemiology of autoimmune diseases (young, female) suggests that an explanation for sex discrepancy of these illnesses lies in differential exposure, vulnerable periods, or thresholds. Biologists have an opportunity to inform medical scientists about sex differences that explain different attack rates in specific diseases, and physicians offer biologists experiments of nature to test theories of sex.","L33015094 2001-11-13 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1152/jappl.2001.91.5.2366,estrogen;hormone;autoimmune disease;autoimmunity;disease severity;environmental exposure;female;gene mutation;genome;human;male;priority journal;review;rheumatic disease;sex difference;X chromosome aberration;Y chromosome linked disorder;Genome;Rheumatic Diseases;Sex Ratio;Genomics,,
rayyan-902924824,Sexual dimorphism in autoimmunity,2015,,,Journal of Clinical Investigation,1558-8238 0021-9738,125,6,2187-2193,"Rubtsova, K. and Marrack, P. and Rubtsov, A. V.",https://www.embase.com/search/results?subaction=viewrecord&id=L604736218&from=exporthttp://dx.doi.org/10.1172/JCI78082,,,,"Autoimmune diseases occur when the immune system attacks and destroys the organs and tissues of its own host. Autoimmunity is the third most common type of disease in the United States. Because there is no cure for autoimmunity, it is extremely important to study the mechanisms that trigger these diseases. Most autoimmune diseases predominantly affect females, indicating a strong sex bias. Various factors, including sex hormones, the presence or absence of a second X chromosome, and sex-specific gut microbiota can influence gene expression in a sex-specific way. These changes in gene expression may, in turn, lead to susceptibility or protection from autoimmunity, creating a sex bias for autoimmune diseases. In this Review we discuss recent findings in the field of sex-dependent regulation of gene expression and autoimmunity.","L604736218 2015-06-10 2015-06-18 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1172/jci78082,"androgen;androgen receptor;Bruton tyrosine kinase;CD40 ligand;chemokine receptor CXCR3;estrogen;estrogen receptor;gamma interferon;interferon;interferon regulatory factor 5;interleukin 2 receptor gamma;interleukin 9 receptor;major histocompatibility antigen class 1;membrane protein;ogt protein;pattern recognition receptor;prolactin;protein;sex hormone;sphingosine 1 phosphate receptor;sphingosine 1 phosphate receptor 2;testosterone;toll like receptor 3;toll like receptor 7;toll like receptor 8;toll like receptor 9;transcription factor FOXP3;transcription factor T bet;unc 93 homolog b1;unclassified drug;unindexed drug;article;autoimmune disease;autoimmunity;B lymphocyte;castration;CD4+ T lymphocyte;CD8+ T lymphocyte;dendritic cell;feedback system;gene expression;hormone substitution;human;immunocompetent cell;innate immunity;intestine flora;karyotype 47,XXY;Klinefelter syndrome;macrophage;memory T lymphocyte;monocyte;multiple sclerosis;natural killer cell;nonhuman;peripheral blood mononuclear cell;positive feedback;pregnancy;priority journal;regulatory T lymphocyte;rheumatoid arthritis;scleroderma;sex difference;systemic lupus erythematosus;Turner syndrome;upregulation;wild type;X chromosome;X chromosome inactivation;Y chromosome",,
rayyan-902924825,Interferon inducible X-linked gene CXorf21 may contribute to sexual dimorphism in Systemic Lupus Erythematosus,2019,5,15,Nat Commun,2041-1723,10,1,2164,"Odhams, C. A. and Roberts, A. L. and Vester, S. K. and Duarte, C. S. T. and Beales, C. T. and Clarke, A. J. and Lindinger, S. and Daffern, S. J. and Zito, A. and Chen, L. and Jones, L. L. and Boteva, L. and Morris, D. L. and Small, K. S. and Fernando, M. M. A. and Cunninghame Graham, D. S. and Vyse, T. J.",,,,,"Systemic lupus erythematosus (SLE) is an autoimmune disease, characterised by increased expression of type I interferon (IFN)-regulated genes and a striking sex imbalance towards females. Through combined genetic, in silico, in vitro, and ex vivo approaches, we define CXorf21, a gene of hitherto unknown function, which escapes X-chromosome inactivation, as a candidate underlying the Xp21.2 SLE association. We demonstrate that CXorf21 is an IFN-response gene and that the sexual dimorphism in expression is magnified by immunological challenge. Fine-mapping reveals a single haplotype as a potential causal cis-eQTL for CXorf21. We propose that expression is amplified through modification of promoter and 3'-UTR chromatin interactions. Finally, we show that the CXORF21 protein colocalises with TLR7, a pathway implicated in SLE pathogenesis. Our study reveals modulation in gene expression affected by the combination of two hallmarks of SLE: CXorf21 expression increases in a both an IFN-inducible and sex-specific manner.","2041-1723 Odhams, Christopher A Roberts, Amy L Vester, Susan K Orcid: 0000-0002-4210-118x Duarte, Carolina S T Beales, Charlie T Orcid: 0000-0003-1297-1448 Clarke, Alexander J Orcid: 0000-0003-2846-7860 Lindinger, Sonja Daffern, Samuel J Orcid: 0000-0002-7630-3505 Zito, Antonino Orcid: 0000-0003-1931-984x Chen, Lingyan Orcid: 0000-0003-3750-6761 Jones, Leonardo L Boteva, Lora Morris, David L Orcid: 0000-0002-1754-8932 Small, Kerrin S Orcid: 0000-0003-4566-0005 Fernando, Michelle M A Cunninghame Graham, Deborah S Vyse, Timothy J Orcid: 0000-0003-1123-1464 20265/VAC_/Versus Arthritis/United Kingdom 20332/VAC_/Versus Arthritis/United Kingdom L002604/1/RCUK | Medical Research Council (MRC)/International 20580/VAC_/Versus Arthritis/United Kingdom Wellcome Trust/United Kingdom 20265/ARC_/Arthritis Research UK/United Kingdom 20580/ARC_/Arthritis Research UK/United Kingdom 21252/VAC_/Versus Arthritis/United Kingdom MR/R023131/1/MRC_/Medical Research Council/United Kingdom 19983/VAC_/Versus Arthritis/United Kingdom Journal Article Research Support, N.I.H., Extramural Research Support, Non-U.S. Gov't England 2019/05/17 Nat Commun. 2019 May 15;10(1):2164. doi: 10.1038/s41467-019-10106-2. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune,very relevant",10.1038/s41467-019-10106-2,"3' Untranslated Regions/genetics;Adult;Age Factors;Case-Control Studies;Chromosomes, Human, X/*genetics;Female;Genes, X-Linked/*genetics/immunology;Genetic Predisposition to Disease;Humans;Interferon Type I/immunology/*metabolism;Intracellular Signaling Peptides and Proteins/genetics/*metabolism;Lupus Erythematosus, Systemic/*genetics/immunology;Male;Promoter Regions, Genetic/genetics;Sex Factors;Toll-Like Receptor 7/genetics;Interferons",,
rayyan-902924826,Characterization of cxorf21 Provides Molecular Insight Into Female-Bias Immune Response in SLE Pathogenesis,2019,,,Front Immunol,1664-3224,10,,2160,"Harris, V. M. and Koelsch, K. A. and Kurien, B. T. and Harley, I. T. W. and Wren, J. D. and Harley, J. B. and Scofield, R. H.",,,,,"Background: Ninety percent of systemic lupus erythematosus (SLE) patients are women. X chromosome-dosage increases susceptibility to SLE and primary Sjögren's syndrome (pSS). Chromosome X open reading frame 21 (CXorf21) escapes X-inactivation and is an SLE risk gene of previously unknown function. We undertook the present study to delineate the function of CXorf21 in the immune system as well as investigate a potential role in the sex bias of SLE and pSS. Methods: Western blot protein analysis, qPCR, BioPlex cytokine immunoassay, pHrodo™ assays, as well as in vitro CRISPR-Cas9 knockdown experiments were employed to delineate the role of CXorf21 in relevant immunocytes. Results: Expressed in monocytes and B cells, CXorf21 basal Mrna, and protein expression levels are elevated in female primary monocytes, B cells, and EBV-transformed B cells compared to male cells. We also found CXorf21 mRNA and protein expression is higher in both male and female cells from SLE patients compared to control subjects. TLR7 ligation increased CXorf21 protein expression and CXorf21 knockdown abrogated TLR7-driven increased IFNA1 mRNA expression, and reduced secretion of both TNF-alpha and IL-6 in healthy female monocytes. Similarly, we found increased pH in the lysosomes of CXorf21-deficient female monocytes. Conclusion: CXorf21 is more highly expressed in female compared to male cells and is involved in a sexually dimorphic response to TLR7 activation. In addition, CXorf21 expression regulates lysosomal pH in a sexually dimorphic manner. Thus, sexually dimorphic expression of CXorf21 skews cellular immune responses in manner consistent with expected properties of a mediator of the X chromosome dose risk in SLE and pSS.","1664-3224 Harris, Valerie M Koelsch, Kristi A Kurien, Biji T Harley, Isaac T W Wren, Jonathan D Harley, John B Scofield, R Hal P30 AR073750/AR/NIAMS NIH HHS/United States T32 AR007534/AR/NIAMS NIH HHS/United States U19 AI082714/AI/NIAID NIH HHS/United States U54 GM104938/GM/NIGMS NIH HHS/United States Journal Article Research Support, N.I.H., Extramural Research Support, Non-U.S. Gov't Research Support, U.S. Gov't, Non-P.H.S. Switzerland 2019/11/07 Front Immunol. 2019 Oct 21;10:2160. doi: 10.3389/fimmu.2019.02160. eCollection 2019. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.3389/fimmu.2019.02160,"B-Lymphocytes/immunology/pathology;Cytokines/genetics/immunology;Female;Gene Expression Regulation/*immunology;Humans;*Intracellular Signaling Peptides and Proteins/genetics/immunology;Lupus Erythematosus, Systemic/genetics/immunology/pathology;Lysosomes/genetics/immunology/pathology;Male;Monocytes/immunology/pathology;*Sex Characteristics;Sjogren's Syndrome/genetics/immunology/pathology;Toll-Like Receptor 7/genetics/immunology;X Chromosome Inactivation/*immunology;Interferon-inducible;X-chromosome;innate immunity;sex-bias;systemic lupus erythematosus;Bias (Epidemiology)",,
rayyan-902924828,TLR7 ligands induce higher IFN-α production in females,2006,,,Journal of Immunology,0022-1767,177,4,2088-2096,"Berghöfer, B. and Frommer, T. and Haley, G. and Fink, L. and Bein, G. and Hackstein, H.",https://www.embase.com/search/results?subaction=viewrecord&id=L44200966&from=exporthttp://dx.doi.org/10.4049/jimmunol.177.4.2088,,,,"IFN-α exercises multiple immune modulatory and antiviral activities and has been suggested to play a critical role in the pathogenesis of systemic lupus erythematosus (SLE). Plasmacytoid dendritic cells (pDCs) release IFN-α upon TLR7 and TLR9 ligation. With respect to the nine times higher incidence of SLE in women and the clinical use of synthetic TLR ligands as novel immune adjuvants, we analyzed IFN-α and TNF-α production in healthy human individuals. Blood samples were incubated with synthetic TLR7 and TLR9 ligands. In three independent groups (n1 = 120, n2 = 101, and n3 = 123), analysis revealed a capacity of female PBLs to produce significantly higher IFN-α levels after TLR7 stimulation (p1, < 0.0000001, p2 < 0.0000001, and p3 < 0.0001) compared with male PBLs. In contrast, no sex differences were evident after TLR9 stimulation. TNF-α production after TLR7 stimulation and also total pDC numbers were not different between females and males. X-inactivation escape of the TLR7 gene was investigated in monoclonal B cell lines and, independently, in pDCs after cell sorting and single-cell picking, indicating regular silencing of one TLR7 allele in females. Additionally, exogenous 17β-estrogen and estrogen receptor antagonism did not indicate a significant role on TLR7-induced IFN-α production. Our data reveal for the first time a profound sex-dependent pathway of TLR7-induced IFN-α with higher production in females. These findings may explain the higher prevalence of SLE in females and the reported decreased therapeutic efficacy of synthetic TLR7 ligands in male individuals. Copyright © 2006 by The American Association of Immunologists, Inc.","L44200966 2006-08-24 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.4049/jimmunol.177.4.2088,alpha interferon;estradiol;estrogen receptor;hormone receptor blocking agent;immunological adjuvant;toll like receptor 7;toll like receptor 9;tumor necrosis factor;adult;allele;article;B lymphocyte;blood sampling;cell selection;cytokine release;dendritic cell;female;gene;gene silencing;human;human cell;immunomodulation;incidence;interferon production;male;normal human;pathogenesis;peripheral lymphocyte;prevalence;priority journal;receptor upregulation;sex difference;systemic lupus erythematosus;TLR7 gene;X chromosome inactivation,,
rayyan-902924830,"Single Nucleotide Polymorphisms at the PRR3, ABCF1, and GNL1 Genes in the HLA Class I Region Are Associated with Graves' Ophthalmopathy in a Gender-Dependent Manner",2014,10,,Ophthalmology,0161-6420 1549-4713 J9 - OPHTHALMOLOGY,121,10,2033-2039,"Liu, Y. H. and Chen, Y. J. and Wu, H. H. and Wang, T. Y. and Tsai, F. J.",,,,,"Objective: To investigate whether a conserved HLA class I region influenced the development of Graves' ophthalmopathy (GO) in patients with Graves' disease (GD) in a Taiwan-Chinese population. Design: Case-control study. Participants: Four hundred sixty-eight Taiwan-Chinese patients with GD; 200 of these patients had GO, whereas 268 patients did not. Methods: Five single nucleotide polymorphisms (SNPs) between the HLA-A and HLA-C loci were genotyped. Main Outcome Measures: The Mann-Whitney U test and chi-square test with Bonferroni correction were used. The odds ratios (ORs) were estimated by applying unconditional logistic regression with a 95% confidence intervals (CIs). Results: Strong gender effects on the distribution of the SNPs were apparent: male GD patients carrying an A allele at rs2074503 in the PRR3 gene tended to avoid demonstrating GO (P = 0.008; OR, 0.450; 95% CI, 0.248-0.819), whereas female patients tended to show GO (P = 0.01; OR, 1.486; 95% CI, 1.098-2.012). In addition, only the female GD patients with a T allele at rs1264439 in the ABCF-1 gene tended to demonstrate GO (P = 0.005; OR, 1.539; 95% CI, 1.139-2.081). Analysis of the haplotype blocks of the SNPs rs2074505 (GNL1) and rs2074503 (PRR3) showed that haplotype HA1 was underrepresented in male GO patients (P = 0.004; OR, 0.418; 95% CI, 0.228-0.767), whereas HA-4 was underrepresented in female GO patients (P = 0.007; OR, 0.660; 95% CI, 0.490-0.895). Conclusions: The results suggested that SNPs at PRR3 and ABCF1 genes and the haplotype composed by SNPs at GNL1 and PRR3 between the HLA-A and HLA-C genes tended to predict GO in a gender-dependent manner in patients with GD in Taiwan. (C) 2014 by the American Academy of Ophthalmology.","Times Cited in Web of Science Core Collection: 5 Total Times Cited: 6 Cited Reference Count: 47 | RAYYAN-INCLUSION: {""Nala""=>""Maybe""} | RAYYAN-LABELS: autoimmune",10.1016/j.ophtha.2014.04.027,"autoimmune thyroid-disease;x-chromosome inactivation;tumor-necrosis-factor;female predisposition;susceptibility loci;multiplex families;chinese patients;sex-differences;pathogenesis;alleles;HLA-G Antigens;Polymorphism, Single Nucleotide;HLA-C Antigens;HLA-D Antigens;HLA-A Antigens;HLA-B Antigens;Polymorphism, Genetic",,
rayyan-902924849,Does XIST safeguard against sex-biased human diseases?,2021,,,Molecular Cell,1097-4164 1097-2765,81,8,1598-1600,"Sado, T.",https://www.embase.com/search/results?subaction=viewrecord&id=L2011661664&from=exporthttp://dx.doi.org/10.1016/j.molcel.2021.03.036,,,,"Yu et al. (2021) demonstrate that a subset of X-linked immune genes is repressed on the inactive X chromosome (Xi) in a manner dependent on XIST RNA in B cells, and derepression of these genes upon XIST depletion could bias differentiation of naive B cells and be involved in etiology of female-biased autoimmune diseases.","L2011661664 2021-04-20 2021-04-27 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1016/j.molcel.2021.03.036,histone deacetylase 3;RNA polymerase II;single stranded RNA;toll like receptor 7;transcription factor;unclassified drug;untranslated RNA;xist RNA;adult;article;autoimmune disease;B lymphocyte;B lymphocyte differentiation;DNA methylation;heterochromatin;human;human cell;protein depletion;sex difference;X chromosome;X chromosome inactivation;X chromosome linked disorder;Humanities;Humanism;Humans;Bias (Epidemiology),,
rayyan-902924856,"Long noncoding RNA XIST: Mechanisms for X chromosome inactivation, roles in sex-biased diseases, and therapeutic opportunities",2022,,,Genes and Diseases,2352-3042,9,6,1478-1492,"Li, J. and Ming, Z. and Yang, L. and Wang, T. and Liu, G. and Ma, Q.",https://www.embase.com/search/results?subaction=viewrecord&id=L2018357719&from=exporthttp://dx.doi.org/10.1016/j.gendis.2022.04.007,,,,"Sexual dimorphism has been reported in various human diseases including autoimmune diseases, neurological diseases, pulmonary arterial hypertension, and some types of cancers, although the underlying mechanisms remain poorly understood. The long noncoding RNA (lncRNA) X-inactive specific transcript (XIST) is involved in X chromosome inactivation (XCI) in female placental mammals, a process that ensures the balanced expression dosage of X-linked genes between sexes. XIST is abnormally expressed in many sex-biased diseases. In addition, escape from XIST-mediated XCI and skewed XCI also contribute to sex-biased diseases. Therefore, its expression or modification can be regarded as a biomarker for the diagnosis and prognosis of many sex-biased diseases. Genetic manipulation of XIST expression can inhibit the progression of some of these diseases in animal models, and therefore XIST has been proposed as a potential therapeutic target. In this manuscript, we summarize the current knowledge about the mechanisms for XIST-mediated XCI and the roles of XIST in sex-biased diseases, and discuss potential therapeutic strategies targeting XIST.","L2018357719 2022-05-27 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: cancer,autoimmune,neurological,cardiovascular",10.1016/j.gendis.2022.04.007,adult;animal experiment;animal model;autoimmune disease;cancer prognosis;controlled study;epigenetics;female;gene expression;genetic manipulation;genetic transcription;human;male;malignant neoplasm;neurologic disease;nonhuman;placental mammal;prognosis;protein expression;protein function;pulmonary hypertension;review;sex difference;X chromosome inactivation;biological marker;endogenous compound;long untranslated RNA;X Chromosome,,
rayyan-902924858,Inherent X-Linked Genetic Variability and Cellular Mosaicism Unique to Females Contribute to Sex-Related Differences in the Innate Immune Response,2017,,,Front Immunol,1664-3224 (Print) 1664-3224,8,,1455,"Spolarics, Z. and Peña, G. and Qin, Y. and Donnelly, R. J. and Livingston, D. H.",,,,,"Females have a longer lifespan and better general health than males. Considerable number of studies also demonstrated that, after trauma and sepsis, females present better outcomes as compared to males indicating sex-related differences in the innate immune response. The current notion is that differences in the immuno-modulatory effects of sex hormones are the underlying causative mechanism. However, the field remains controversial and the exclusive role of sex hormones has been challenged. Here, we propose that polymorphic X-linked immune competent genes, which are abundant in the population are important players in sex-based immuno-modulation and play a key role in causing sex-related outcome differences following trauma or sepsis. We describe the differences in X chromosome (ChrX) regulation between males and females and its consequences in the context of common X-linked polymorphisms at the individual as well as population level. We also discuss the potential pathophysiological and immune-modulatory aspects of ChrX cellular mosaicism, which is unique to females and how this may contribute to sex-biased immune-modulation. The potential confounding effects of ChrX skewing of cell progenitors at the bone marrow is also presented together with aspects of acute trauma-induced de novo ChrX skewing at the periphery. In support of the hypothesis, novel observations indicating ChrX skewing in a female trauma cohort as well as case studies depicting the temporal relationship between trauma-induced cellular skewing and the clinical course are also described. Finally, we list and discuss a selected set of polymorphic X-linked genes, which are frequent in the population and have key regulatory or metabolic functions in the innate immune response and, therefore, are primary candidates for mediating sex-biased immune responses. We conclude that sex-related differences in a variety of disease processes including the innate inflammatory response to injury and infection may be related to the abundance of X-linked polymorphic immune-competent genes, differences in ChrX regulation, and inheritance patterns between the sexes and the presence of X-linked cellular mosaicism, which is unique to females.","1664-3224 Spolarics, Zoltan Peña, Geber Qin, Yong Donnelly, Robert J Livingston, David H R01 GM118602/GM/NIGMS NIH HHS/United States Journal Article Switzerland 2017/11/29 Front Immunol. 2017 Nov 13;8:1455. doi: 10.3389/fimmu.2017.01455. eCollection 2017. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.3389/fimmu.2017.01455,X chromosome inactivation;X chromosome skewing;cellular mosaicism;infection;injury;sepsis;sexual dimorphism;Tocopherols,,
rayyan-902924864,X chromosome inactivation in females with multiple sclerosis,2007,12,,Eur J Neurol,1351-5101,14,12,1392-1396,"Knudsen, G. P. and Harbo, H. F. and Smestad, C. and Celius, E. G. and Akesson, E. and Oturai, A. and Ryder, L. P. and Spurkland, A. and Ørstavik, K. H.",,,,,"The aetiology of multiple sclerosis (MS) is unknown. Autoimmune mechanisms are most probably involved. Loss of immunological tolerance to self-antigens is a common feature of autoimmune disorders. Response to X-linked self-antigens could be influenced by X-chromosome inactivation, and contribute to the gender bias observed in autoimmune disorders. Previous studies have indicated an association between skewed X inactivation and autoimmune thyroid disease and scleroderma. To investigate a potential role of X inactivation in MS, we compared the X-inactivation pattern in 568 female MS patients with controls. We found no difference in degree of skewing between patients (median 64%) and controls (median 65%) (P = 0.474). The X-inactivation pattern did thus not explain the female predominance of MS patients in general. As the aetiology of different subgroups of MS may differ, patients were grouped according to disease course: relapsing-remitting (RR-MS), secondary progressive (SP-MS) and primary progressive (PP-MS). A comparison of the X-inactivation pattern between subgroups indicated a possible difference in degree of skewing between patients with a progressive versus a relapsing course (P = 0.05).","1468-1331 Knudsen, G P S Harbo, H F Smestad, C Celius, E G Akesson, E Oturai, A Ryder, L P Spurkland, A Ørstavik, K H Comparative Study Journal Article Research Support, Non-U.S. Gov't England 2007/11/01 Eur J Neurol. 2007 Dec;14(12):1392-6. doi: 10.1111/j.1468-1331.2007.01987.x. Epub 2007 Oct 26. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1111/j.1468-1331.2007.01987.x,"Adult;Age Factors;Aged;Data Interpretation, Statistical;Female;Genetic Predisposition to Disease/*genetics;Genetic Variation/genetics;Humans;Middle Aged;Models, Genetic;Multiple Sclerosis/*genetics;Multiple Sclerosis, Chronic Progressive/genetics;Multiple Sclerosis, Relapsing-Remitting/genetics;Sex Factors;X Chromosome Inactivation/*genetics;X Chromosome;Multiple Sclerosis",,
rayyan-902924880,Reactivation of inactive X chromosome: a potential culprit and therapeutic target for systemic lupus erythematosus,2008,,,Med Hypotheses,0306-9877 (Print) 0306-9877,70,6,1231-1232,"Pan, H. F. and Ye, D. Q. and Li, X. P.",,,,,,"Pan, Hai Feng Ye, Dong Qing Li, Xiang Pei Letter United States 2008/02/12 Med Hypotheses. 2008;70(6):1231-2. doi: 10.1016/j.mehy.2007.12.012. Epub 2008 Feb 11. | RAYYAN-INCLUSION: {""Nala""=>""Maybe""} | RAYYAN-LABELS: autoimmune",10.1016/j.mehy.2007.12.012,"Azacitidine/*administration & dosage;CD40 Ligand/genetics/metabolism;DNA Methylation/drug effects;Enzyme Inhibitors/*administration & dosage;Female;Humans;Lupus Erythematosus, Systemic/*drug therapy/pathology;*Models, Biological;Sex Factors;T-Lymphocytes/metabolism;X Chromosome Inactivation/*drug effects/genetics;X Chromosome;Lupus Erythematosus, Systemic",,
